TSIC,commodity code,product,unit,year,month,inventory,production,dom sale,export,total,thousand baht,month-end inv,capacity
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,1,"71,435","191,495","136,922","25,981","162,903","7,768,370","73,665","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,2,"73,665","182,708","136,485","24,079","160,564","7,593,424","70,565","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,3,"70,565","195,025","141,454","24,075","165,529","8,111,991","72,147","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,4,"72,147","170,763","131,212","25,286","156,497","7,660,435","62,873","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,5,"62,873","174,486","137,035","27,548","164,583","7,928,272","60,511","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,6,"60,511","195,613","144,057","24,620","168,677","7,828,841","62,677","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,7,"62,677","191,993","142,673","28,777","171,451","8,428,316","57,663","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,8,"57,663","192,922","146,512","27,864","174,376","8,392,765","58,915","236,150"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,9,"58,915","199,952","138,369","28,126","166,495","7,733,981","63,634","236,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,10,"63,634","217,614","149,642","32,382","182,023","8,482,680","68,190","236,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,11,"68,190","213,262","151,100","28,952","180,051","8,686,202","69,925","236,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2016,12,"69,925","208,657","152,160","30,797","182,958","9,700,314","65,809","236,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,1,"65,809","187,049","141,462","23,172","164,634","7,971,604","69,672","236,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,2,"69,672","177,657","143,407","22,543","165,950","8,652,934","64,151","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,3,"64,151","195,707","148,598","25,890","174,488","8,881,861","66,359","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,4,"66,359","163,516","128,048","25,673","153,721","7,629,370","60,024","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,5,"60,024","193,326","143,584","28,084","171,668","9,464,271","60,395","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,6,"60,395","188,797","142,345","25,391","167,736","8,309,330","61,109","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,7,"61,109","203,591","153,690","29,112","182,801","9,358,105","61,744","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,8,"61,744","204,693","152,476","28,203","180,680","9,374,923","64,227","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,9,"64,227","207,882","151,127","31,106","182,233","8,989,479","69,917","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,10,"69,917","197,157","146,814","29,699","176,514","8,598,097","70,348","242,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,11,"70,348","218,257","156,813","33,291","190,104","9,093,035","75,691","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2017,12,"75,691","215,738","158,182","33,713","191,894","8,529,800","75,983","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,1,"75,983","208,113","151,919","27,319","179,238","8,044,179","86,049","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,2,"86,049","199,241","147,939","29,904","177,843","7,825,849","86,417","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,3,"86,417","222,998","165,201","32,763","197,964","8,670,208","89,414","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,4,"89,414","173,500","130,841","28,909","159,750","7,463,206","86,279","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,5,"86,279","210,160","154,057","33,760","187,816","8,692,825","88,485","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,6,"88,485","203,077","151,301","34,929","186,230","8,873,089","88,191","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,7,"88,191","198,756","146,552","32,760","179,312","8,700,808","89,978","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,8,"89,978","204,895","152,787","35,042","187,830","9,462,262","88,367","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,9,"88,367","207,169","148,587","34,716","183,303","9,029,396","94,238","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,10,"94,238","212,339","149,832","34,744","184,575","8,936,296","100,576","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,11,"100,576","209,022","150,486","37,412","187,898","9,043,202","101,671","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2018,12,"101,671","185,388","143,266","34,268","177,534","8,650,031","89,124","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,1,"89,124","197,568","151,933","26,922","178,854","7,969,213","95,063","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,2,"95,063","188,530","140,861","35,024","175,885","8,274,292","92,814","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,3,"92,814","208,265","155,669","38,859","194,528","9,503,236","92,165","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,4,"92,165","181,087","142,754","30,039","172,793","8,385,389","85,335","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,5,"85,335","196,773","148,776","38,254","187,031","9,447,421","78,926","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,6,"78,926","187,872","146,741","33,581","180,321","8,954,412","78,012","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,7,"78,012","202,004","158,432","29,737","188,169","9,162,892","77,009","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,8,"77,009","213,492","160,534","35,991","196,525","9,697,872","75,160","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,9,"75,160","209,861","153,398","34,638","188,036","8,975,084","82,746","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,10,"82,746","217,716","155,647","32,344","187,991","8,598,545","97,969","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,11,"97,969","218,371","156,351","39,407","195,758","9,393,246","103,906","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2019,12,"103,906","202,298","153,755","38,395","192,150","9,367,475","104,213","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,1,"104,213","204,236","149,340","32,508","181,849","8,500,242","112,438","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,2,"112,438","207,021","149,095","37,659","186,754","8,857,058","111,063","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,3,"111,063","209,721","146,957","40,203","187,160","8,963,341","117,477","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,4,"117,477","190,533","129,212","33,768","162,980","7,608,366","124,686","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,5,"124,686","200,788","149,972","42,732","192,705","8,489,113","117,806","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,6,"117,806","197,075","141,351","33,922","175,273","7,862,037","120,634","243,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,7,"120,634","196,845","146,993","29,337","176,330","8,132,053","117,854","248,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,8,"117,854","205,410","152,870","34,303","187,173","8,836,538","116,287","248,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,9,"116,287","203,650","150,489","32,852","183,341","8,193,151","118,197","248,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,10,"118,197","212,582","159,547","40,571","200,119","9,399,395","100,482","248,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,11,"100,482","223,798","163,007","36,765","199,772","8,964,782","98,688","248,840"
10120,010,เนื้อไก่แช่แข็งและแช่เย็น,ตัน,2020,12,"98,688","212,758","161,630","34,624","196,254","8,567,073","81,998","248,840"
10131,010,แฮม,ตัน,2016,1,72,391,365,0,365,"47,943",99,929
10131,010,แฮม,ตัน,2016,2,99,386,401,0,401,"53,748",84,929
10131,010,แฮม,ตัน,2016,3,84,479,476,0,476,"80,318",87,929
